App Name,Key,Hash
Zeli,AdjustSdk_AdjustSdk.bundle/Info.plist,u4Fov4k/BjJmrzZ2Q6yqbkYBWlI=
Zeli,AdjustSdk_AdjustSdk.bundle/PrivacyInfo.xcprivacy,DuU58YZVvxd7uGlZDejeOmcLCHE=
Zeli,Base.lproj/LaunchScreen.storyboardc/Info.plist,n2t8gsDpfE6XkhG31p7IQJRxTxU=
Zeli,Base.lproj/LaunchScreen.storyboardc/UIViewController-01J-lp-oVM.nib,ZVgM1+KwZcZnwhgaI0F7Bt1ba2c=
Zeli,Failed.json,SrV8T9vcftbq9Ta5QAMoHxV+tXg=
Zeli,Frameworks/AdjustSigSdk.framework/Info.plist,8ZBmnRtnQI6Zf1woXMZAc8N3DbI=
Zeli,Frameworks/AdjustSigSdk.framework/PrivacyInfo.xcprivacy,NUVYytDAElhQJbZto9aT+q3S02E=
Zeli,Frameworks/AdjustSigSdk.framework/_CodeSignature/CodeResources,jW8SeyL7MJPOgQwRussbHnkLWCs=
Zeli,Frameworks/Alamofire.framework/Alamofire.bundle/Info.plist,J8G3mKxpi2ZzBNtoXY9t5KgLURU=
Zeli,Frameworks/Alamofire.framework/Alamofire.bundle/PrivacyInfo.xcprivacy,ovFJMFOLMjzh8DLJKmXncj8JIgU=
Zeli,Frameworks/Alamofire.framework/Info.plist,jyfC2dVO7GXUbveK0iNMt5+Zj3I=
Zeli,Frameworks/Alamofire.framework/_CodeSignature/CodeResources,WNv7fptHWF91/5gVJtTBDGeyhEI=
Zeli,Frameworks/AlignedCollectionViewFlowLayout.framework/Info.plist,5pFdGo+mD6kqoB3lRCXiIYEAf2g=
Zeli,Frameworks/AlignedCollectionViewFlowLayout.framework/_CodeSignature/CodeResources,a8XMw7WOv1EsbmUWerR7MbKwGuQ=
Zeli,Frameworks/DPOTPView.framework/Info.plist,kltnpAvsXFbYpyM3LdDyZF2l/ao=
Zeli,Frameworks/DPOTPView.framework/_CodeSignature/CodeResources,Y4x2wXPzIz6vN0SxamOQZZcTNJ8=
Zeli,Frameworks/FBLPromises.framework/FBLPromises_Privacy.bundle/Info.plist,ilfhYt98tiL9XN2cYZpsVfbFgmQ=
Zeli,Frameworks/FBLPromises.framework/FBLPromises_Privacy.bundle/PrivacyInfo.xcprivacy,ZajnvEs/MYRS3X4TPLAhBWi8mc4=
Zeli,Frameworks/FBLPromises.framework/Info.plist,cF7OjiZI1KW8WnJOCItCgdYEcz8=
Zeli,Frameworks/FBLPromises.framework/_CodeSignature/CodeResources,jO+sMDirR+iscJbxbc3imJSzqEU=
Zeli,Frameworks/FirebaseCore.framework/FirebaseCore_Privacy.bundle/PrivacyInfo.xcprivacy,sa2OhFlqdCIyz9oV7fUdDKWzFL0=
